#https://datatracker.ietf.org/doc/html/rfc8805
#ip_network,iso_country_code,iso_region_code,city_name,postal_code
185.209.82.0/24,DE,DE-HE,Frankfurt,60528
185.231.240.0/24,BG,BG-21,Sofia,1784
185.231.241.0/24,CH,CH-SH,Schaffhausen,8200
185.231.242.0/24,CH,CH-SH,Schaffhausen,8200
185.231.243.0/24,CH,CH-SH,Schaffhausen,8200
69.168.224.0/24,US,US-WA,Bellevue,98004
69.168.225.0/24,DE,DE-HE,Frankfurt,60528
69.168.226.0/24,DE,DE-HE,Frankfurt,60528
69.168.227.0/24,GB,GB-ENG,London,E16 1PW
69.168.228.0/24,US,US-WA,Bellevue,98004
69.168.229.0/24,US,US-WA,Bellevue,98004
69.168.230.0/24,US,US-WA,Bellevue,98004
69.168.231.0/24,DE,DE-HE,Frankfurt,60528
69.168.232.0/24,DE,DE-HE,Frankfurt,60528
69.168.233.0/24,GB,GB-ENG,Manchester,M32 0QT
69.168.234.0/24,IL,IL-HA,Tirat Carmel,3902638
69.168.235.0/24,US,US-WA,Bellevue,98004
69.168.236.0/24,US,US-WA,Bellevue,98004
69.168.237.0/24,UA,UA-32,L'viv,79000
69.168.238.0/24,UA,UA-32,L'viv,79000
69.168.239.0/24,UA,UA-32,L'viv,79000
199.115.104.0/24,BG,BG-21,Sofia,1784
199.115.105.0/24,CH,CH-SH,Schaffhausen,8200
